season,episode,id,name,start,end,merge,delete,keep,notes,,,,
2,1,34,Prank Show,4:42,8:08,,"6, 9-17, 19-35",,,,,,
2,1,35,Little Buff Boys,8:08,11:59,,"0, 2-4, 8-12, 14, 17-19, 21, 26, 27, 31-45",,,,,,
2,1,36,Ghost Tour,11:59,17:41,,"9, 12",,,,,,
2,2,37,The Capital Room,0:00,2:00,3+6,7,,,,,,
2,2,38,Dan Flashes,2:00,5:35,,"0, 5, 7, 11",,,,,,
2,2,39,Diner Wink,5:35,9:03,,,,,,,,
2,2,40,The Shops at the Creeks,9:03,10:20,,,,may not have any faces facing the camera,,,,
2,2,41,Baby Cries,10:20, 15:56,"14+19, 2+20, 1+30","3, 7, 10, 12, 15, 17, 18, 21",,ignore all characters after 15:56,,,,
2,3,42,Grambles Lorelei Lounge,0:00,4:01,,,,,,,,
2,3,43,Crashmore Trailer,4:01,5:55,,"1, 2, 4",,,,,,
2,3,44,H.D. Vac Commercial,5:55,7:28,,"3, 5",,,,,,
2,3,45,Crashmore Junket,7:28,10:30,0+2,"5, 6",,,,,,
2,3,46,Qualstarr Trial,10:30,15:45,"1+19, 25+39","0, 2, 3, 5, 6, 8, 10, 12-18, 20-24, 26-32, 34, 35, 40-42",,,,,,
2,4,47,Wife Joke,0:00,4:20,"5+6+7+8+9+13+21, 22+12","10, 14-20, 23",,,,,,
2,4,48,Friend's Weekend,4:20,7:00,3+8+9,,,,,,,
2,4,49,Calico Cut Pants,7:00,16:48,,"3, 6, 11, 12, 14",,,,,,
2,5,50,Parking Lot,0:00,2:00,0+1+2,,,,,,,
2,5,51,Del Frisco's Double Eagle,2:00,5:31,,"4, 11",,"character 10 is missing from thumbnails, does it exist?",,,,
2,5,52,Joanie's Birthday,5:31,9:10,9+21,"0, 1, 5, 6, 8, 10-13, 15-20, 22, 24, 27, 28",,,,,,
2,5,53,Little Buff Boys Competition,9:10,10:02,,,,,,,,
2,5,54,Mars Restaurant,10:02,15:40,,"1, 3-5, 10",,,,,,
2,6,55,Dave Suit,0:00,2:52,,,,,,,,
2,6,56,Driver's Ed,2:52,7:26,"1+8+10+12, 7+9",,,,,,,
2,6,57,Tammy Craps,7:26,9:30,,"2, 4-6",,,,,,
2,6,58,Big Wave,9:30,12:26,5+10,,,,,,,
2,6,59,Claire's,12:26,16:31,,"0, 9",,,,,,
3,1,60,Barley Tonight,0:00,3:02,0+2+4+11,1,,,,,,
3,1,61,Mortal Enemies,3:02,6:10,9+23,"17, 19",,,,,,
3,1,62,Summer Loving,6:10,9:12,,,"3, 5, 10, 17",,,,,
3,1,63,Dad Video,9:12,11:12,0+3,,,,,,,
3,1,64,Designated Driver,11:12,16:41,9+14,"0, 4, 15",,,,,,
3,2,65,Supermarket Swap,0:00,3:03,3+7+8+9,,,,,,,
3,2,66,Darmine Doggy Door,3:03,5:10,,2-12,,,,,,
3,2,67,Ponytail,5:10,8:10,"0+2+3, 4+5, 1+7",,,,,,,
3,2,68,Eggman Game,8:10,10:36, ,,,,,,,
3,2,69,Sitcom Taping,10:36,16:59,,,"1, 27, 29, 45, 56, 58, 59, 92",,,,,
3,3,70,Silent Show,0:00,3:10,"0+18, 27+37",,"0, 20-35",,,,,
3,3,71,First Date,3:10,6:45,,"2, 4, 5, 8, 12-15",,,,,,
3,3,72,ABX Heart Monitor,6:45,9:30,3+13+41,"1, 2, 4-8, 10-12, 14-20, 22-29",,,,,,
3,3,73,Drive Thru,9:30,11:52,0+2,,,,,,,
3,3,74,Robert's Christmas Birthday,11:52,17:04,27+33,,"0, 1, 2, 6, 8, 15, 18, 19, 27",,,,,
3,4,75,Jenna's Bad Day,0:00,3:19,,"2, 5, 7",,,,,,
3,4,76,Pacific Proposal Park,3:19,5:00,,,,,,,,
3,4,77,Gelutol,5:00,8:47,3+12,"0, 2, 4, 6-11, 13",,,,,,
3,4,78,Summer Loving Farewell Package,8:47,9:30,,,,,,,,
3,4,79,Children's Choir,9:30,16:09,6+58,,"5, 6, 7, 10, 11, 13",,,,,
3,5,80,Bloody Eyeball,0:00,4:18,,11-12,,,,,,
3,5,81,Photo Booth,4:18,6:53,,"3, 5, 6, 7, 11-23",,,,,,
3,5,82,Talk About My Kids,6:53,14:32,14+43+84,"0-3, 7, 8, 10, 11, 13, 15, 20-22, 24, 26, 28, 33, 37-42, 44, 45, 47-60, 62-64, 66-73, 75, 76, 78, 80, 87, 88, 90-92",,,,,,
3,6,83,Banana Breath,0:00,3:24,,"60, 6, 7, 8",,,,,,
3,6,84,Metal Motto Search,3:24,6:45,,4,,missing live action metal man,,,,
3,6,85,Don Bondarley,6:45,9:57,,,,,,,,
3,6,86,Tasty Time Vids,9:57,16:45,"6+11+12+13+16, 14+19","0, 8-10, 20, 21",,,,,,
